Part,Link,Price
Arduino Uno Rev3,https://www.microcenter.com/product/668288/arduino-uno-r4-wifi-abx00087,$27.99
4 Channel Motor Shield,https://www.microcenter.com/product/639730/inland-ks0448-keyestudio-l298p-4-channel-motor-drive-shield,$30.00
2x TT Motors with Encoder,https://www.amazon.com/TT-Encoder-Motor-All-Metal-Robotics/dp/B0GHYFZ2SQ,$26.99
R360 Small Electric Motor,https://www.microcenter.com/product/497116/leo-sales-ltd-r360-small-electric-motor,$5.99
Jumper Wires,https://www.microcenter.com/product/613879/inland-dupont-jumper-wire-20cm-3-pack,$4.99
Alligator Wires,https://www.amazon.com/Dupont-Breadboard-Jumper-Alligator-Arduino/dp/B07NWLW6P9,$8.99
UV LED Strip,https://www.amazon.com/Strips-Flexible-Blacklight-Non-Waterproof-Halloween/dp/B0B8Z7P38X,$7.99
Limit Switches,https://www.amazon.com/ALMOCN-Mechanical-Endstop-Switch-Printer/dp/B08L5W4WM5,$8.99
12V Power Supply,https://www.amazon.com/Facmogu-Connector-5-5x2-5mm-5-5x2-1mm-Transformer/dp/B073WSWT34?th=1,$9.99
Lead Screws,https://www.amazon.com/200mm%EF%BC%887-88-Inches%EF%BC%89-Thread-Printer-Machine/dp/B0BWYLKVYN,$11.99
Peristaltic Pump,https://www.amazon.com/Kamoer-Peristaltic-Hydroponics-Nutrient-Analytical/dp/B07GWJ78FN,$8.48
Microfiber Roller,https://www.amazon.com/Mister-Rui-Microfiber-Painting-Cabinets/dp/B0DXPQPMH1,$6.40
Silicone Tubing,https://www.amazon.com/Quickun-Silicone-Brewing-Kegerator-Aquaponics/dp/B08BRC5FPB,$5.99
Illuminated Push Button,https://www.amazon.com/Starelo-Momentary-Button-Waterproof-Self-resetting/dp/B0BVPSFJCY,$11.19
Rod Coupler,https://www.amazon.com/dp/B0FN7BC55F,$7.79
Cable Adapters,https://www.amazon.com/Connector-Connectors-Female-Silicone-Cables/dp/B0GWYR7CQ2,$5.99
Vibrating Disc Motor,https://www.microcenter.com/product/454448/adafruit-industries-vibrating-mini-motor-disc,$1.99
M3 Screw Kit,https://www.amazon.com/Fgruh-750PCS-Assortment-Washers-Assorted/dp/B0FGV5FCBN,$9.99
Magnetic Tape,https://www.amazon.com/Magnetic-Flexible-Adhesive-Backing-Magnets/dp/B0D82YQM2B,$8.99
Misting Nozzles,https://www.amazon.com/Virello-Threaded-Pressure-Greenhouse-Landscaping/dp/B0GD74KXPL,$7.79
Power Jack Adapter,https://www.amazon.com/Connector-Barrel-Adapter-Security-Camera/dp/B09S3S6RYC/ref=mp_s_a_1_9,$3.99
Total,,$222.50
